Planet, No. Orbits, Aphelion, Perihelion, Eccentricity, KeplerIII
Sun, NaN, 0.009, 0.000, 0.991, NaN 
Mercury, 1139.2, 0.471, 0.303, 0.218, 1.000 
Venus, 446.3, 0.736, 0.708, 0.019, 1.000 
Earth, 274.5, 1.021, 0.976, 0.022, 1.000 
Moon, 3668.8, 0.003, 0.002, 0.067, 0.987 
Mars, 145.9, 1.665, 1.378, 0.094, 1.000 
Jupiter, 23.1, 5.453, 4.945, 0.049, 0.999 
Saturn, 9.3, 10.064, 9.018, 0.055, 0.994 
Uranus, 3.3, 20.112, 18.140, 0.052, 0.998 
Neptune, 1.7, 30.153, 29.697, 0.008, 1.005 
Pluto, 1.1, 48.584, 29.413, 0.246, 1.023 
HalleyC, 3.9, 35.134, 0.576, 0.968, 1.181 
